dpqs, 3500.000000, 40375.000000, 28486.000000, 0.001000
quick, 3500.000000, 47918.000000, 30138.000000, 0.000000
dpqs, 3600.000000, 43567.000000, 27300.000000, 0.001000
quick, 3600.000000, 51553.000000, 33549.000000, 0.000000
dpqs, 3700.000000, 44053.000000, 26561.000000, 0.000000
quick, 3700.000000, 54996.000000, 35708.000000, 0.000000
dpqs, 3800.000000, 44119.000000, 27271.000000, 0.000000
quick, 3800.000000, 53620.000000, 36948.000000, 0.000000
dpqs, 3900.000000, 47967.000000, 31580.000000, 0.000000
quick, 3900.000000, 52374.000000, 34142.000000, 0.000000
dpqs, 4000.000000, 46790.000000, 31059.000000, 0.000000
quick, 4000.000000, 56928.000000, 34923.000000, 0.000000
dpqs, 4100.000000, 50261.000000, 32790.000000, 0.000000
quick, 4100.000000, 59119.000000, 42159.000000, 0.000000
dpqs, 4200.000000, 49452.000000, 31725.000000, 0.000000
quick, 4200.000000, 62553.000000, 46930.000000, 0.000000
dpqs, 4300.000000, 49966.000000, 33216.000000, 0.000000
quick, 4300.000000, 58651.000000, 39574.000000, 0.000000
dpqs, 4400.000000, 53866.000000, 32745.000000, 0.000000
quick, 4400.000000, 66869.000000, 47043.000000, 0.000000
dpqs, 4500.000000, 55794.000000, 34436.000000, 0.000000
quick, 4500.000000, 63012.000000, 44024.000000, 0.000000
dpqs, 4600.000000, 57030.000000, 40100.000000, 0.000000
quick, 4600.000000, 66991.000000, 46856.000000, 0.016000
dpqs, 4700.000000, 55264.000000, 37493.000000, 0.000000
quick, 4700.000000, 66000.000000, 47868.000000, 0.000000
dpqs, 4800.000000, 66209.000000, 42864.000000, 0.000000
quick, 4800.000000, 71808.000000, 48969.000000, 0.000000
dpqs, 4900.000000, 63003.000000, 36633.000000, 0.000000
quick, 4900.000000, 72523.000000, 54317.000000, 0.000000
dpqs, 5000.000000, 62810.000000, 40566.000000, 0.000000
quick, 5000.000000, 75608.000000, 49995.000000, 0.000000
dpqs, 5100.000000, 61998.000000, 41595.000000, 0.000000
quick, 5100.000000, 74491.000000, 52724.000000, 0.000000
dpqs, 5200.000000, 62681.000000, 41867.000000, 0.000000
quick, 5200.000000, 74559.000000, 52925.000000, 0.000000
dpqs, 5300.000000, 65976.000000, 42422.000000, 0.000000
quick, 5300.000000, 76051.000000, 50698.000000, 0.000000
dpqs, 5400.000000, 68223.000000, 42769.000000, 0.000000
quick, 5400.000000, 75734.000000, 53205.000000, 0.016000
dpqs, 5500.000000, 72147.000000, 42708.000000, 0.000000
quick, 5500.000000, 80999.000000, 57273.000000, 0.000000
dpqs, 5600.000000, 70593.000000, 45300.000000, 0.000000
quick, 5600.000000, 83897.000000, 60447.000000, 0.000000
dpqs, 5700.000000, 71151.000000, 46116.000000, 0.000000
quick, 5700.000000, 82293.000000, 58220.000000, 0.000000
dpqs, 5800.000000, 70176.000000, 50048.000000, 0.000000
quick, 5800.000000, 85000.000000, 57283.000000, 0.000000
dpqs, 5900.000000, 75199.000000, 46836.000000, 0.000000
quick, 5900.000000, 95975.000000, 61879.000000, 0.000000
dpqs, 6000.000000, 76874.000000, 49491.000000, 0.000000
quick, 6000.000000, 85980.000000, 63683.000000, 0.000000
dpqs, 6100.000000, 75090.000000, 52783.000000, 0.000000
quick, 6100.000000, 93903.000000, 65033.000000, 0.000000
dpqs, 6200.000000, 80334.000000, 54406.000000, 0.002000
quick, 6200.000000, 94456.000000, 65018.000000, 0.001000
dpqs, 6300.000000, 82671.000000, 52607.000000, 0.001000
quick, 6300.000000, 98780.000000, 65902.000000, 0.001000
dpqs, 6400.000000, 79850.000000, 55797.000000, 0.001000
quick, 6400.000000, 98678.000000, 72981.000000, 0.002000
dpqs, 6500.000000, 84966.000000, 57163.000000, 0.001000
quick, 6500.000000, 99941.000000, 70937.000000, 0.001000
