S, 1550, 3591, 4959, 4604.250000, 268.748840
R, 1550, 2326, 9809, 4889.500000, 1568.468628
S, 1560, 3641, 4985, 4646.120117, 258.993927
R, 1560, 2683, 9676, 4917.660156, 1395.894897
S, 1570, 3188, 4984, 4702.379883, 258.471344
R, 1570, 2187, 8669, 4793.270020, 1420.005859
S, 1580, 3481, 5048, 4709.700195, 309.095581
R, 1580, 1994, 11816, 4916.560059, 1648.598511
S, 1590, 3201, 5014, 4750.479980, 257.452820
R, 1590, 2340, 9604, 4959.240234, 1551.626343
S, 1600, 3567, 5001, 4760.500000, 277.304443
R, 1600, 2429, 8956, 4987.089844, 1606.686890
S, 1610, 3567, 5078, 4752.169922, 319.935974
R, 1610, 2397, 8096, 4927.339844, 1382.800049
S, 1620, 3308, 5067, 4833.140137, 241.835526
R, 1620, 2363, 7835, 5028.310059, 1291.016602
S, 1630, 3537, 5138, 4890.589844, 220.932068
R, 1630, 2288, 9283, 5322.770020, 1514.814575
S, 1640, 3753, 5204, 4887.620117, 262.845184
R, 1640, 2301, 9249, 5018.399902, 1324.588379
S, 1650, 3830, 5239, 4904.240234, 318.530579
R, 1650, 2303, 8829, 5033.310059, 1625.341797
S, 1660, 3846, 5243, 4950.180176, 279.768158
R, 1660, 2599, 9290, 5155.390137, 1527.635010
S, 1670, 3483, 5247, 4986.520020, 310.744415
R, 1670, 2701, 9674, 5351.109863, 1377.958374
S, 1680, 3408, 5313, 5035.839844, 279.930481
R, 1680, 2507, 11833, 5303.120117, 1837.583496
S, 1690, 3516, 5361, 5041.839844, 321.485596
R, 1690, 2387, 9480, 5158.479980, 1593.554565
S, 1700, 3505, 5450, 5083.970215, 278.913696
R, 1700, 2457, 11440, 5500.399902, 1862.757324
S, 1710, 3801, 5383, 5123.129883, 249.648163
R, 1710, 2338, 12924, 5384.819824, 1787.350342
S, 1720, 3844, 5456, 5122.080078, 294.970642
R, 1720, 2555, 9383, 5411.049805, 1603.461914
S, 1730, 3821, 5441, 5163.339844, 260.544922
R, 1730, 1729, 9559, 5405.290039, 1538.369751
S, 1740, 4020, 5515, 5204.040039, 272.230194
R, 1740, 2237, 10460, 5532.120117, 1705.120239
S, 1750, 4053, 5509, 5251.080078, 238.524658
R, 1750, 2464, 12587, 5681.430176, 1851.581787
S, 1760, 4119, 5577, 5297.270020, 192.318329
R, 1760, 2579, 9738, 5448.379883, 1762.985718
S, 1770, 3575, 5590, 5271.950195, 281.476715
R, 1770, 2404, 11036, 4958.120117, 1584.373291
S, 1780, 4102, 5607, 5342.419922, 273.542267
R, 1780, 2475, 9615, 5483.060059, 1623.411377
